,Model,Train_Recall,Train_F1,Val_Recall,Val_F1
0,NN_SGD_v1,0.8941326530612245,0.9217619986850756,0.8588957055214724,0.8888888888888888
1,NN_SGD_2Hidden,0.923469387755102,0.9520052596975674,0.8680981595092024,0.909967845659164
2,NN_SGD_2Hidden_Drop30,0.8801020408163265,0.9330628803245437,0.8404907975460123,0.9057851239669421
3,NN_SGD_2Hidden_Drop30_Weighted,0.9196428571428571,0.9279279279279279,0.8895705521472392,0.8923076923076924
4,NN_SGD_3Hidden_Wide_Drop30_Weighted,0.9260204081632653,0.9149338374291115,0.8957055214723927,0.8729446935724963
5,NN_Adam_2Hidden,0.9336734693877551,0.9606299212598425,0.8742331288343558,0.892018779342723
6,NN_Adam_2Hidden_Drop30,0.8979591836734694,0.9424364123159303,0.8558282208588958,0.9192751235584844
7,NN_Adam_2Hidden_Drop30_Weighted,0.923469387755102,0.9038701622971286,0.8957055214723927,0.8575624082232012
8,NN_Adam_2Hidden_Wide_Drop30_Weighted,0.923469387755102,0.8927250308261405,0.901840490797546,0.8571428571428571
9,NN_Adam_4Hidden_Drop30_Weighted,0.9221938775510204,0.9186785260482846,0.8987730061349694,0.8905775075987842
10,NN_Adam_4Hidden_Drop50_Weighted,0.9107142857142857,0.9165596919127086,0.8895705521472392,0.8895705521472392
11,NN_Adam_Shallow_Weighted,0.9400510204081632,0.7757894736842105,0.8926380368098159,0.7238805970149254
12,NN_Adam_Narrow_Weighted,0.9579081632653061,0.8490672696438666,0.8803680981595092,0.7756756756756756
13,NN_Adam_WideHeavy_Drop40_Weighted,0.9272959183673469,0.9179292929292929,0.8957055214723927,0.8808446455505279
